Band:,Album:,Song:,Lyric:,Location:,Coordinates,,X,Y
Steely Dan,Can't Buy a Thrill (1972),Do It Again,"""Then you find you're back in <b><u>Vegas</b></u> with a handle in your hand""",Las Vegas,"[ 36.16304218140045, -115.17801855220941 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Do It Again"", ""lyric"": ""Then you find you're back in <b><u>Vegas</b></u> with a handle in your hand"", ""artist"": ""Steely Dan"", ""year"": ""1972"", ""album"": ""Can't Buy a Thrill"", ""count"": 10, ""pic"": ""<img src='Steely_Can'tBuyAThrill.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 36.16304218140045, -115.17801855220941 ] } },",36.16304218,-115.1780186
Steely Dan,Can't Buy a Thrill (1972),Midnight Cruiser,"""Drive me to <b><u>Harlem</b></u> or somewhere the same""",Harlem,"[ 40.81656408699853, -73.94716541811306 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Midnight Cruiser"", ""lyric"": ""Drive me to <b><u>Harlem</b></u> or somewhere the same"", ""artist"": ""Steely Dan"", ""year"": ""1972"", ""album"": ""Can't Buy a Thrill"", ""count"": 10, ""pic"": ""<img src='Steely_Can'tBuyAThrill.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.81656408699853, -73.94716541811306 ] } },",40.81656409,-73.94716542
Steely Dan,Can't Buy a Thrill (1972),Reelin' In The Years,"""The trip we made to <b><u>Hollywood</b></u> is etched upon my mind""",Hollywood,"[ 34.09740323722119, -118.3344983769093 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Reelin' In The Years"", ""lyric"": ""The trip we made to <b><u>Hollywood</b></u> is etched upon my mind"", ""artist"": ""Steely Dan"", ""year"": ""1972"", ""album"": ""Can't Buy a Thrill"", ""count"": 10, ""pic"": ""<img src='Steely_Can'tBuyAThrill.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.09740323722119, -118.3344983769093 ] } },",34.09740324,-118.3344984
Steely Dan,Can't Buy a Thrill (1972),Brooklyn (Owes The Charmer Under Me),"""<b><u>Brooklyn</b></u> owes the charmer under me""",Brooklyn,"[ 40.667785559640286, -73.94924531066219 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Brooklyn (Owes The Charmer Under Me)"", ""lyric"": ""<b><u>Brooklyn</b></u> owes the charmer under me"", ""artist"": ""Steely Dan"", ""year"": ""1972"", ""album"": ""Can't Buy a Thrill"", ""count"": 10, ""pic"": ""<img src='Steely_Can'tBuyAThrill.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.667785559640286, -73.94924531066219 ] } },",40.66778556,-73.94924531
Steely Dan,Can't Buy a Thrill (1972),Turn That Heartbeat Over Again,"""Yeah, this highway runs from <b><u>Paraguay</b></u>""",Paraguay,"[ -23.518992688332165, -57.9742966124559 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Turn That Heartbeat Over Again"", ""lyric"": ""Yeah, this highway runs from <b><u>Paraguay</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1972"", ""album"": ""Can't Buy a Thrill"", ""count"": 10, ""pic"": ""<img src='Steely_Can'tBuyAThrill.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ -23.518992688332165, -57.9742966124559 ] } },",-23.51899269,-57.97429661
Steely Dan,Countdown To Ecstasy (1973),Bodhisattva,"""The shine of your <b><u>Japan</b></u>""",Japan,"[ 36.383610132630075, 138.52745966197338 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Bodhisattva"", ""lyric"": ""The shine of your <b><u>Japan</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 36.383610132630075, 138.52745966197338 ] } },",36.38361013,138.5274597
Steely Dan,Countdown To Ecstasy (1973),The Boston Rag,"""Bring back the <b><u>Boston Rag</b></u>""",Boston,"[ 42.35736969102946, -71.0593877130755 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Boston Rag"", ""lyric"": ""Bring back the <b><u>Boston Rag</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 42.35736969102946, -71.0593877130755 ] } },",42.35736969,-71.05938771
Steely Dan,Countdown To Ecstasy (1973),Your Gold Teeth,"""Do you see how they roll tobacco they grow in <b><u>Peking</b></u>""",Beijing (Peking),"[ 39.90398349951826, 116.39329321861197 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Your Gold Teeth"", ""lyric"": ""Do you see how they roll tobacco they grow in <b><u>Peking</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 39.90398349951826, 116.39329321861197 ] } },",39.9039835,116.3932932
Steely Dan,Countdown To Ecstasy (1973),Your Gold Teeth,"""There ain't nothing in <b><u>Chicago</b></u> for a monkey woman to do""",Chicago,"[ 41.87851194626637, -87.67446358433793 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Your Gold Teeth"", ""lyric"": ""There ain't nothing in <b><u>Chicago</b></u> for a monkey woman to do"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 41.87851194626637, -87.67446358433793 ] } },",41.87851195,-87.67446358
Steely Dan,Countdown To Ecstasy (1973),Show Biz Kids,"""After closing time at the <b><u>Guernsey</b></u> fair, I detect the El Supremo from the room at the top of the stairs""","Guernsey County Fairgrounds, OH","[ 40.036710526026894, -81.4335250006067 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Show Biz Kids"", ""lyric"": ""After closing time at the <b><u>Guernsey</b></u> fair, I detect the El Supremo from the room at the top of the stairs"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.036710526026894, -81.4335250006067 ] } },",40.03671053,-81.433525
